,git_hash,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,310,900,9682
1,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,301,900,9631
2,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,291,900,9475
3,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.0,18:31.8,306,900,9402
4,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,309,900,9574
5,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,305,900,9437
6,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,293,900,9814
7,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,298,900,9588
8,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,304,900,9589
9,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,303,900,9570
10,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,295,900,9409
11,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,297,900,9533
12,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,299,900,9469
13,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,296,900,9922
14,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,308,900,9696
15,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,300,900,9868
16,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,302,900,9695
17,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,307,900,9472
18,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,292,900,9831
19,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,294,900,9517
20,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,291,1800,9888
21,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,294,1800,9875
22,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,295,1800,9561
23,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,299,1800,9537
24,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.0,18:31.8,306,1800,9877
25,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,298,1800,9615
26,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,303,1800,9690
27,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,310,1800,9737
28,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,301,1800,9973
29,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,293,1800,9933
30,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,305,1800,9479
31,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,292,1800,10026
32,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.1,18:31.8,297,1800,9651
33,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,296,1800,10002
34,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,309,1800,9690
35,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,307,1800,9792
36,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer,08:28.1,18:31.8,304,1800,9632
37,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer,08:28.0,18:31.8,300,1800,9923
