,git_hash,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,380,900,9271
1,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,384,900,9162
2,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,381,900,9367
3,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,378,900,9243
4,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,375,900,9206
5,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,377,900,9156
6,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,383,900,9193
7,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,376,900,9376
8,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,369,900,9237
9,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,365,900,9242
10,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,371,900,8949
11,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,367,900,8550
12,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,372,900,9222
13,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,368,900,8858
14,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,370,900,9224
15,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,373,900,8917
16,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,379,900,8727
17,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,382,900,9228
18,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,374,900,9142
19,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,366,900,9014
20,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,379,1800,8756
21,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,368,1800,9007
22,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,383,1800,9216
23,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,376,1800,9422
24,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,371,1800,9001
25,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,382,1800,9348
26,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,380,1800,9389
27,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,370,1800,9298
28,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,372,1800,9318
29,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,367,1800,8628
30,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,366,1800,9272
31,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,374,1800,9198
32,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,384,1800,9257
33,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,377,1800,9164
34,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,373,1800,9112
35,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,375,1800,9233
36,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,365,1800,9317
37,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,378,1800,14044
38,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,381,1800,9376
39,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,369,1800,9282
40,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,381,2700,9395
41,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,369,2700,9292
42,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,379,2700,8762
43,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,368,2700,9302
44,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,378,2700,14047
45,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,383,2700,9268
46,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,365,2700,9354
47,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,374,2700,9273
48,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,367,2700,9367
49,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,373,2700,9265
50,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,372,2700,9440
51,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,377,2700,9169
52,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,380,2700,9443
53,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,370,2700,9305
54,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,366,2700,9334
55,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,384,2700,9276
56,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,375,2700,9236
57,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,382,2700,14138
58,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,371,2700,9024
59,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,376,2700,9432
60,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,384,3600,9365
61,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,383,3600,9327
62,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.3,30:56.9,369,3600,9298
63,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.3,30:56.9,379,3600,8763
64,5a4b00b9284756c13b683979a685c9f0bf267595,ifcg,curl_curl_fuzzer_imap,20:53.2,30:56.9,367,3600,9430
65,5a4b00b9284756c13b683979a685c9f0bf267595,libfuzzer,curl_curl_fuzzer_imap,20:53.2,30:56.9,380,3600,9447
