,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.276193,2021-01-18 12:42:44.780135,2,900,7429
1,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.312053,2021-01-18 12:42:44.780135,4,900,7502
2,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.261902,2021-01-18 12:42:44.780135,11,900,12283
3,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.320677,2021-01-18 12:42:44.780135,19,900,12339
4,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.043327,2021-01-18 12:42:44.780135,15,900,7398
5,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.284577,2021-01-18 12:42:44.780135,14,900,12351
6,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.272142,2021-01-18 12:42:44.780135,9,900,7598
7,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.083715,2021-01-18 12:42:44.780135,8,900,7457
8,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.199680,2021-01-18 12:42:44.780135,1,900,7404
9,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.236269,2021-01-18 12:42:44.780135,13,900,7390
