,git_hash,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.7,28:59.0,216,900,8004
1,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.7,28:59.0,226,900,12619
2,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.7,28:59.0,215,900,12798
3,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.7,28:59.0,221,900,12522
4,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.8,28:59.0,224,900,12703
5,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,218,900,12625
6,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.8,28:59.0,229,900,12698
7,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,217,900,12661
8,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.8,28:59.0,225,900,12839
9,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.7,28:59.0,228,900,12791
10,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.8,28:59.0,222,900,12703
11,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,212,900,8048
12,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.7,28:59.0,220,900,12622
13,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.8,28:59.0,227,900,12672
14,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,211,900,12864
15,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,219,900,12688
16,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,libfuzzer,curl_curl_fuzzer_smtp,18:55.8,28:59.0,223,900,12685
17,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,213,900,12570
18,fca5ae167adb100be7a6ee0bfd4546abf0ec405f,ifcg,curl_curl_fuzzer_smtp,18:55.8,28:59.0,214,900,12584
