,git_hash,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,87,900,51804
1,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,86,900,51641
2,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,84,900,51695
3,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,89,900,51615
4,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,83,900,51641
5,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,88,900,51542
6,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,78,900,51641
7,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,76,900,51675
8,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,82,900,51585
9,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,90,900,51533
10,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,81,900,51697
11,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,85,900,51677
12,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,74,900,52069
13,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,73,900,51750
14,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,71,900,52384
15,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,72,900,51586
16,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,80,900,51632
17,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,75,900,52057
18,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,79,900,51847
19,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,77,900,51572
20,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,81,1800,51875
21,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,89,1800,51736
22,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,90,1800,51927
23,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,84,1800,52000
24,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,83,1800,51905
25,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,87,1800,52074
26,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,88,1800,51925
27,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,82,1800,51903
28,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,86,1800,52035
29,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,85,1800,51878
30,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,75,1800,52254
31,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,73,1800,51925
32,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,76,1800,51924
33,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,78,1800,51824
34,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,74,1800,52217
35,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,80,1800,51867
36,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,71,1800,52660
37,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,77,1800,51953
38,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,72,1800,51983
39,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,79,1800,52048
40,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,89,2700,51777
41,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,83,2700,52034
42,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,90,2700,52000
43,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,81,2700,51972
44,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,87,2700,52188
45,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,88,2700,52072
46,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,86,2700,52164
47,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,82,2700,52060
48,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,85,2700,52019
49,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,84,2700,52192
50,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,78,2700,51959
51,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,71,2700,52840
52,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,76,2700,52038
53,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,80,2700,52132
54,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,72,2700,52265
55,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,73,2700,51976
56,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,75,2700,52378
57,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,77,2700,52070
58,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,74,2700,52774
59,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,79,2700,52395
60,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,89,3600,52021
61,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,90,3600,52100
62,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,81,3600,52041
63,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,87,3600,52247
64,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,86,3600,52300
65,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,82,3600,52192
66,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,84,3600,52227
67,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,83,3600,52219
68,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,85,3600,52051
69,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,88,3600,52150
70,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,77,3600,52222
71,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,78,3600,52135
72,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,74,3600,52889
73,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,71,3600,52904
74,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,73,3600,52194
75,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,76,3600,52135
76,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,80,3600,52265
77,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,72,3600,52561
78,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,75,3600,52879
79,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,ifcg,gstreamer_gst-discoverer,56:39.5,,79,3600,52470
80,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,89,4500,52109
81,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,87,4500,52307
82,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,82,4500,52296
83,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,84,4500,52266
84,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,85,4500,52145
85,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,81,4500,52108
86,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,90,4500,52243
87,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,88,4500,52228
88,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,83,4500,52302
89,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,libfuzzer,gstreamer_gst-discoverer,56:39.5,,86,4500,52384
