,git_hash,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,334,900,1923
1,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,330,900,1981
2,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,331,900,1930
3,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,329,900,1938
4,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,328,900,1966
5,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,343,900,2031
6,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,336,900,1999
7,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,340,900,2019
8,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,332,900,1988
9,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,335,900,2008
10,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,344,900,2009
11,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.8,25:20.3,341,900,2030
12,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,325,900,1921
13,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,342,900,1987
14,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,339,900,2016
15,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,327,900,1973
16,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,333,900,1922
17,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,337,900,2005
18,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,338,900,1923
19,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,326,900,1938
20,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,337,1800,2056
21,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,330,1800,2041
22,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,336,1800,2040
23,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,328,1800,2026
24,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,340,1800,2061
25,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,334,1800,2016
26,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,333,1800,1981
27,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,329,1800,1969
28,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,335,1800,2043
29,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,342,1800,2032
30,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,343,1800,2070
31,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,326,1800,1979
32,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.8,25:20.3,341,1800,2113
33,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,344,1800,2073
34,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,339,1800,2069
35,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,331,1800,2009
36,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,327,1800,2046
37,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,338,1800,1983
38,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,325,1800,1956
39,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,332,1800,2026
40,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,ifcg,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,330,2700,2047
41,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,340,2700,2104
42,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:16.9,25:20.3,335,2700,2060
43,f4f3c14ff98c7e0f7537e3d3339b5c468315647d,libfuzzer,h2o_h2o-fuzzer-http2,15:17.0,25:20.3,337,2700,2086
