,git_hash,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
0,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,221,900,2711
1,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,216,900,2699
2,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,215,900,2628
3,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,222,900,2541
4,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,217,900,2683
5,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,224,900,2689
6,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,220,900,2541
7,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,219,900,2537
8,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,218,900,2601
9,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,223,900,2606
10,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,212,900,2572
11,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,211,900,2614
12,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,206,900,2555
13,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,209,900,2498
14,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,205,900,2663
15,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,213,900,2635
16,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,207,900,2756
17,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,214,900,2613
18,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,210,900,2716
19,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,208,900,2757
20,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,216,1800,2803
21,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,215,1800,2653
22,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,217,1800,2722
23,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,218,1800,2634
24,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,220,1800,2656
25,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,222,1800,2607
26,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,219,1800,2656
27,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,224,1800,2726
28,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,223,1800,2684
29,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,221,1800,2820
30,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,212,1800,2626
31,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,211,1800,2789
32,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,206,1800,2647
33,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,205,1800,2743
34,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,213,1800,2691
35,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,209,1800,2549
36,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,207,1800,2832
37,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,214,1800,2776
38,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,210,1800,2779
39,e94075791f364a5d342b2fc24c3ea0744989e392,ifcg,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,208,1800,2777
40,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,216,2700,2822
41,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,218,2700,2694
42,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,215,2700,2703
43,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,219,2700,2717
44,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,217,2700,2730
45,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,222,2700,2655
46,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:48.0,57:52.1,224,2700,2753
47,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,221,2700,2853
48,e94075791f364a5d342b2fc24c3ea0744989e392,libfuzzer,nghttp2_nghttp2_fuzzer,47:47.9,57:52.1,220,2700,2685
